PatientID,LastName,FirstName,City,ZipCode,BirthDate,Phone,Center,Balance,DaysLate
1741,Love,Yoselin,Woodway,76712,7/5/1993,731-560-8402,30,0,0
1872,Sampson,German,Hewitt,76643,2/26/1941,254-973-1510,30,0,0
1199,Serrano,Nash,Woodway,76712,10/6/1982,317-399-7041,30,0,0
1770,Conway,Beckham,Woodway,76712,12/19/2000,254-843-8627,30,0,0
1204,York,Krystal,Moody,76557,3/13/1960,254-712-6048,30,5343.71,30
1412,Ware,Cael,Hewitt,76643,9/18/1985,254-328-7955,30,0,0
1594,Dorsey,Jaxen,Woodway,76712,2/3/1953,434-488-8230,30,0,0
1133,Vasquez,Yazmin,Moody,76557,7/11/1969,254-298-2737,30,3825.66,30
1231,Armstrong,Regan,Lorena,76630,4/7/1960,254-331-3969,30,0,0
1047,Decker,Ahmad,Waco,76702,7/21/1952,254-871-5732,20,0,0
1943,Hahn,Tate,Woodway,76712,9/12/1987,254-500-6013,30,7426.1,0
1649,Butler,Regina,Moody,76557,3/8/1953,254-705-3143,30,0,0
1993,Bowers,Waylon,Hewitt,76643,11/27/1969,254-960-5572,30,0,0
1281,Daniel,Allan,Waco,76702,1/22/1971,580-981-2882,20,0,0
1267,Guerra,Leon,Woodway,76712,6/25/1982,254-941-2446,30,0,0
1605,Hinton,Soren,Waco,76702,4/20/1947,254-426-5493,20,6171.92,0
1363,Armstrong,Phillip,Waco,76702,5/23/1992,254-692-4302,20,0,0
1195,Hodges,Quintin,Lorena,76630,10/23/1963,254-862-8054,30,0,0
1206,Ballard,Orion,Hewitt,76643,12/8/1990,254-689-6198,30,0,0
1425,Madden,Evan,Waco,76702,10/24/1966,254-243-3444,20,0,0
1504,Page,Rosa,Lorena,76630,10/1/1984,413-726-4980,30,3559.11,0
1181,Fields,Cambria,Waco,76702,4/18/1995,254-686-9173,20,752.52,0
1103,Oneal,Jamya,Hewitt,76643,5/9/1974,254-345-9123,30,37.61,60
1745,Ellison,Alexia,Hewitt,76643,11/17/1969,254-875-9477,30,509.45,0
1405,Head,Finn,Hewitt,76643,12/7/1998,254-271-7473,30,0,0
1179,Velez,Danny,Hewitt,76643,9/19/1949,254-739-2715,30,0,0
1070,McKinney,Zaire,Moody,76557,10/3/2003,303-804-8175,30,2928.41,60
1367,McClure,Jack,Waco,76702,6/3/1987,254-629-6250,20,0,0
1670,Miller,Alejandra,Moody,76557,9/7/1985,254-637-5977,30,1969.28,30
1164,Gamble,Mathew,Lorena,76630,12/27/1989,254-368-9344,30,0,0
1470,Patton,Tiara,Woodway,76712,6/14/1985,254-850-8003,30,3054.09,0
1374,Haley,Eleanor,Moody,76557,10/22/1962,254-762-6019,30,310.98,0
1808,Hull,Reuben,Hewitt,76643,6/3/1987,254-262-4820,30,0,0
1506,Campos,Camille,Moody,76557,12/21/1972,478-550-3595,30,0,0
1219,Bowman,Malakai,Waco,76702,5/14/1959,254-554-3114,20,0,0
1657,Hopkins,Caylee,Bellmead,76715,10/7/1988,254-406-3988,10,8341.83,0
1162,Vargas,Samir,Waco,76702,5/4/1994,254-856-2471,20,3524.4,60
1895,Rosa,Roman,Waco,76702,1/22/1964,254-904-8935,10,0,0
1432,Young,Makenna,Moody,76557,9/23/1956,254-551-9717,30,1288.66,30
1388,Burke,Eric,Woodway,76712,12/3/1977,254-324-3423,30,0,0
1995,Cooley,Anthony,Bellmead,76715,9/13/1975,785-497-8944,10,105.36,30
1019,McFadden,Audrina,Bellmead,76715,8/21/1982,254-220-5218,10,8886.15,30
1566,Lopez,Roman,Woodway,76712,7/11/1970,254-714-7324,30,0,0
1680,Walton,Prince,Hewitt,76643,12/5/1939,254-202-7825,30,0,0
1742,Chang,Roger,Hewitt,76643,12/22/1972,254-964-8274,30,0,0
1082,Myers,Richard,Woodway,76712,3/13/2002,254-323-1683,30,0,0
1307,Everett,Danny,Hewitt,76643,9/15/2001,254-432-3711,30,0,0
1567,Griffith,Amelie,Moody,76557,1/2/1978,254-547-1320,30,0,0
1525,Santiago,Justice,Waco,76702,2/9/1961,254-255-6791,20,0,0
1512,Lawrence,Spencer,Waco,76702,8/7/1972,254-968-8238,10,0,0
1853,Jimenez,Ayana,Bellmead,76715,2/14/1963,254-705-6329,10,0,0
1270,Rocha,Salvatore,Hewitt,76643,7/26/1994,701-833-9053,30,0,0
1169,McConnell,Xavier,Hewitt,76643,3/19/1980,369-771-2843,30,0,0
1273,Nelson,Caleb,Lorena,76630,1/27/1986,254-591-9966,30,0,0
1843,Hudson,Lamar,Hewitt,76643,8/19/1969,254-722-8731,30,0,0
1049,Alvarez,Arnav,Lorena,76630,3/20/1955,254-530-2238,30,0,0
1551,Hopkins,Wesley,Lorena,76630,6/27/1953,254-988-6795,30,0,0
1146,Hill,Elaine,Woodway,76712,2/13/1942,254-616-8790,30,3074.92,0
1214,David,Ryan,Woodway,76712,3/19/1942,609-290-7091,30,189.15,0
1188,Peck,Demetrius,Waco,76702,11/14/1987,475-635-4963,20,9541.88,30
1323,Perez,Cristina,Waco,76702,1/18/2003,254-242-5002,20,0,0
1445,Bird,Kaiya,Lorena,76630,6/3/1989,254-235-5895,30,0,0
1688,Wall,Chandler,Waco,76702,1/10/2001,254-694-7944,10,1346.66,0
1322,Gilmore,Gunnar,Hewitt,76643,2/9/1998,254-795-8406,30,0,0
1730,Fisher,Raquel,Lorena,76630,4/25/1956,254-750-5468,30,0,0
1596,Wiley,Maryam,Woodway,76712,2/1/1980,254-794-3494,30,0,0
1468,Sanders,Sonia,Hewitt,76643,6/27/1956,254-974-7360,30,36.06,60
1069,Waller,Janessa,Hewitt,76643,6/2/1979,283-974-6163,30,0,0
1927,Keith,Evangeline,Hewitt,76643,7/22/2000,254-279-8860,30,0,0
1057,Jarvis,Kennedy,Hewitt,76643,9/4/1987,254-762-9980,30,6113.68,60
1588,Mendoza,Tamara,Hewitt,76643,7/12/1944,254-502-7416,30,0,0
1220,Padilla,Kobe,Hewitt,76643,12/8/1990,254-502-1669,30,0,0
1572,Fowler,Walker,Hewitt,76643,6/16/1997,254-260-4137,30,9499.74,0
1955,Blankenship,Evan,Hewitt,76643,2/16/1941,254-600-7146,30,210.83,60
1906,Hernandez,Aliana,Hewitt,76643,6/5/1944,254-235-1933,30,0,0
1039,Collins,Jaidyn,Waco,76702,11/18/1984,254-474-7380,20,188.61,60
1112,Miller,Ximena,Hewitt,76643,8/17/1953,557-655-9053,30,8738.53,0
1981,Collier,Ayana,Hewitt,76643,9/22/2000,254-628-2160,30,0,0
1764,Hood,Nathalie,Hewitt,76643,5/1/1961,254-482-3864,30,0,0
1613,Christensen,Alexia,Waco,76702,7/9/1988,254-995-1039,10,0,0
1898,Noel,Leighton,Waco,76702,7/4/1976,631-725-6601,20,0,0
1068,Hicks,Bradyn,Hewitt,76643,8/1/1976,254-705-6106,30,0,0
1424,Rhodes,Savannah,Waco,76702,1/21/1973,254-855-1257,20,0,0
1719,Kidd,Landin,Hewitt,76643,9/25/1938,836-874-7596,30,3135.32,0
1697,Clements,Natalee,Hewitt,76643,7/1/1985,254-291-2087,30,5229.04,0
1407,Perry,Gustavo,Lorena,76630,2/25/1940,254-533-8844,30,0,0
1644,Kaufman,Helena,Hewitt,76643,3/9/1959,254-323-7675,30,1538.3,30
1982,Wong,Ryder,Hewitt,76643,6/25/1964,254-540-7184,30,2389.89,0
1168,Albert,Leonardo,Hewitt,76643,3/24/1960,254-992-5125,30,4121.18,0
1178,Morrow,Nehemiah,Robinson,76706,11/13/1997,254-617-3205,30,0,0
1885,Henson,Garrison,Lorena,76630,10/22/1978,251-708-9544,30,7365.29,0
1335,Stephenson,Easton,Waco,76702,12/5/2003,254-947-4622,10,3336.24,60
1988,Lindsay,Teresa,Hewitt,76643,9/14/1988,254-995-3819,30,0,0
1980,Talley,Mercedes,Hewitt,76643,2/25/1955,254-780-2447,30,0,0
1939,Stanton,Adelynn,Robinson,76706,9/19/1998,253-840-9031,30,0,0
1105,May,Kristopher,Hewitt,76643,3/4/1963,254-985-6144,30,0,0
1986,Cortez,Madilyn,Hewitt,76643,1/7/1968,254-649-2465,30,0,0
1643,Griffin,Clark,Waco,76702,1/25/1957,254-413-8511,20,0,0
1418,Flores,Jaylah,Hewitt,76643,4/21/1971,254-397-2259,30,3874.63,0
1852,Foster,Leyla,Woodway,76712,4/5/1945,254-897-1594,30,9868.37,60
1377,Sanchez,Elianna,Bellmead,76715,1/17/1970,254-754-8066,10,0,0
1282,Davis,Zion,Waco,76702,2/10/1945,254-950-3627,20,1133.25,0
1511,Rasmussen,Reid,Lorena,76630,6/9/1968,254-998-2869,30,0,0
1482,Heath,Kaylie,Woodway,76712,11/14/1942,254-350-1476,30,0,0
1689,Cunningham,Hunter,Woodway,76712,7/5/1969,254-703-1673,30,7216.44,30
1291,Nielsen,Fabian,Lorena,76630,2/19/2003,254-979-4028,30,0,0
1301,Vazquez,Drake,Lorena,76630,12/24/1955,254-370-6260,30,0,0
1434,Good,Lorelai,Robinson,76706,6/7/1974,254-236-9578,30,0,0
1130,Vargas,Jaylee,Woodway,76712,7/26/1998,754-332-4811,30,0,0
1289,Kerr,Rachael,Woodway,76712,6/20/1978,254-907-8758,30,0,0
1716,Mosley,Piper,Robinson,76706,7/16/1954,254-707-6546,30,0,0
1591,Holden,Harper,Waco,76702,2/25/1968,254-294-4193,20,0,0
1946,Sellers,Ana,Waco,76702,6/25/1977,254-442-9003,10,0,0
1893,Patton,Aliya,Lorena,76630,8/12/1990,254-623-2413,30,0,0
1222,Peterson,Dexter,Hewitt,76643,12/14/1996,254-475-4489,30,0,0
1779,Browning,Brennen,Woodway,76712,2/14/1982,254-596-4017,30,3638.74,0
1463,Weeks,Eileen,Lorena,76630,3/27/1941,254-248-4174,30,0,0
1095,Bullock,Ernesto,Robinson,76706,5/22/1987,254-205-9384,30,0,0
1177,Mayer,Samara,Waco,76702,9/18/1968,254-426-9068,20,0,0
1167,Eaton,Madyson,Waco,76702,2/25/1982,254-632-3079,20,0,0
1748,Malone,Lilyanna,Lorena,76630,2/26/1990,254-809-5736,30,5174.29,30
1870,Bailey,Raegan,Waco,76702,9/20/1938,337-579-3899,20,0,0
1584,Fields,Lexie,Woodway,76712,3/3/1980,334-482-1444,30,0,0
1114,Melton,Dax,Waco,76702,7/26/1958,254-598-2271,20,0,0
1356,Kent,Krish,Hewitt,76643,10/21/1943,254-327-9733,30,0,0
1704,Irwin,Darius,Woodway,76712,6/20/2001,254-794-7607,30,0,0
1435,Garner,Arjun,Robinson,76706,8/14/1950,254-548-4966,30,0,0
1176,McCray,Melany,Robinson,76706,11/14/1956,612-355-4860,30,3394.27,0
1490,Long,Sawyer,Hewitt,76643,8/16/1980,254-364-9775,30,0,0
1467,Hampton,Beau,Bellmead,76715,10/17/1960,254-519-9608,10,0,0
1708,Berger,Ada,Hewitt,76643,4/7/1959,254-401-5455,30,245.04,60
1611,Crosby,Cael,Woodway,76712,4/7/1974,254-212-2906,30,1065.71,30
1627,Sheppard,Trevin,Hewitt,76643,2/9/1986,254-551-5521,30,0,0
1646,Whitley,Zane,Hewitt,76643,3/20/1973,254-205-1450,30,0,0
1474,Merritt,Collin,Hewitt,76643,10/22/1990,254-523-3419,30,0,0
1369,Guy,Breanna,Robinson,76706,4/25/1986,254-303-4580,30,7651.58,0
1948,Clay,Skylar,Woodway,76712,2/23/1982,254-917-8801,30,9496.94,0
1959,Velazquez,Javier,Hewitt,76643,1/19/1991,254-722-5196,30,0,0
1255,Bell,Jacob,Bellmead,76715,1/24/1965,254-369-6777,10,0,0
1234,Carson,Alma,Lorena,76630,3/26/1985,254-326-1257,30,3064.19,30
1408,Jacobson,Payton,Hewitt,76643,6/12/1940,254-643-5719,30,0,0
1554,Rios,Lillie,Bellmead,76715,12/7/1966,254-378-5041,10,822.54,30
1994,McKee,Omari,Hewitt,76643,7/26/1970,254-479-3717,30,7907.34,30
1012,Figueroa,Jonathon,Lorena,76630,3/24/1979,254-312-2702,30,0,0
1486,Neal,Bryanna,Hewitt,76643,4/13/1944,804-920-3042,30,0,0
1645,Cooke,Caylee,Hewitt,76643,2/7/1940,219-884-9762,30,9376.22,0
1127,Perry,Katrina,Waco,76702,12/6/1957,254-740-1085,10,6149.35,30
1964,Ramos,Johnny,Bellmead,76715,9/19/1990,254-344-9093,10,240.21,30
1971,Mack,Christina,Waco,76702,4/9/1980,254-834-5810,20,6307.1,60
1261,Dillon,Kylah,Woodway,76712,12/4/1991,254-834-4438,30,0,0
1348,Merritt,Winston,Hewitt,76643,9/15/1965,254-930-1550,30,0,0
1294,Weeks,Arely,Hewitt,76643,10/13/1986,254-712-4574,30,0,0
1867,Padilla,Sage,Robinson,76706,12/6/1945,254-224-5449,30,0,0
1243,Bowen,Annalise,Hewitt,76643,6/16/1973,254-346-6824,30,0,0
1378,Kline,Jamel,Lorena,76630,11/6/1956,254-925-4295,30,0,0
1838,Andrews,Jocelyn,Bellmead,76715,3/20/1951,385-440-6836,10,5016.94,30
1958,Maynard,Giselle,Lorena,76630,2/5/1992,254-555-2699,30,8242.88,30
1702,Ford,Beckett,Woodway,76712,2/6/1949,254-275-1370,30,0,0
1603,Rose,Madilynn,Robinson,76706,5/17/1971,402-445-2957,30,0,0
1235,Petersen,Camila,Woodway,76712,9/21/1962,254-688-8797,30,7772.11,0
1135,Lucas,Kamya,Waco,76702,8/19/2000,254-586-4429,10,0,0
1489,Porter,Jonah,Hewitt,76643,12/25/1951,254-754-3102,30,2650.26,0
1015,Boyle,Spencer,Waco,76702,6/14/1967,254-747-9104,20,0,0
1097,Welch,Taylor,Waco,76702,8/25/2003,254-608-7361,20,0,0
1052,Carroll,Braden,Waco,76702,8/17/1992,254-216-8002,10,0,0
1945,Jordan,Jayvion,Lorena,76630,6/25/1941,937-540-1465,30,0,0
1010,Cantu,Yusuf,Hewitt,76643,9/8/1951,254-581-2218,30,5487.52,60
1837,Ellison,Bryson,Lorena,76630,5/26/2003,383-890-6654,30,0,0
1205,Cotton,Charles,Lorena,76630,10/5/2000,254-404-3055,30,0,0
1662,Clark,Frank,Lorena,76630,3/17/1948,605-654-4407,30,0,0
1859,Sweeney,Chance,Waco,76702,11/23/1948,254-270-6567,20,0,0
1111,Burch,Paris,Woodway,76712,4/25/1996,254-873-8107,30,9567.01,0
1071,Conner,Dominique,Hewitt,76643,2/19/1947,254-670-7902,30,0,0
1579,Church,Mitchell,Robinson,76706,9/8/1957,254-359-4105,30,0,0
1563,Haley,Kylie,Waco,76702,6/19/1975,254-642-4629,10,0,0
1257,Burns,Amanda,Woodway,76712,6/19/1940,254-963-6480,30,0,0
1022,Small,Patience,Woodway,76712,1/5/1994,254-573-5256,30,7433.56,30
1824,Sosa,Kamryn,Woodway,76712,7/9/1990,254-775-1767,30,8313.46,0
1157,Lyons,Blaze,Hewitt,76643,7/13/1955,254-297-3095,30,0,0
1976,Delaney,Zaiden,Waco,76702,5/21/1968,254-607-5612,20,2346.86,0
1488,Matthews,Karli,Hewitt,76643,9/4/1963,254-650-8570,30,0,0
1879,Chandler,Jaxson,Hewitt,76643,12/15/1976,304-864-1091,30,8027.31,30
1163,Ferrell,Briana,Hewitt,76643,1/27/1998,254-285-1678,30,6288.95,30
1175,Roach,Lilliana,Woodway,76712,3/21/2000,254-656-3888,30,0,0
1807,Briggs,Mariam,Moody,76557,3/26/2002,254-263-9198,30,0,0
1817,Patel,Matteo,Robinson,76706,12/20/1951,254-881-6760,30,0,0
1733,Lucas,Dashawn,Hewitt,76643,5/16/1945,412-343-2656,30,0,0
1353,Wooten,Rory,Robinson,76706,11/8/1987,254-718-9754,30,2684.86,30
1881,Allison,Blaze,Waco,76702,11/1/1987,254-651-6996,20,0,0
1325,Huffman,Bryanna,Lorena,76630,1/16/2000,254-449-7868,30,0,0
1631,Horton,Lesly,Woodway,76712,2/3/1979,254-615-5555,30,2875.42,30
1503,Thornton,Slade,Waco,76702,11/23/1998,254-272-2734,10,7034.07,30
1907,King,Dereon,Lorena,76630,12/26/1942,254-935-6688,30,0,0
1292,Hoffman,Perla,Hewitt,76643,3/11/1980,254-952-9637,30,0,0
1795,Pennington,Braiden,Moody,76557,10/11/1997,254-257-5551,30,5423.91,0
1090,Ross,Jordyn,Waco,76702,2/18/1986,254-959-3573,20,0,0
1028,Maynard,Parker,Robinson,76706,2/20/1978,254-701-2868,30,6922.8,30
1629,Rosario,Jacoby,Hewitt,76643,11/10/1990,254-478-1969,30,0,0
1336,Jensen,Marcel,Lorena,76630,9/12/1980,254-763-4831,30,0,0
1639,Durham,Luciana,Waco,76702,12/2/1938,254-612-5767,20,0,0
1115,Dotson,Harper,Waco,76702,7/10/1943,254-414-3335,20,0,0
1122,Branch,Madden,Hewitt,76643,8/14/2000,254-876-1024,30,0,0
1426,Berg,Kaliyah,Waco,76702,5/15/1962,254-516-5538,20,7607.57,0
1962,Robinson,Yamilet,Moody,76557,10/5/1975,254-777-1857,30,0,0
1877,Miller,Clare,Waco,76702,8/3/1952,254-663-5744,20,0,0
1715,Chen,Jerome,Woodway,76712,1/7/1989,254-762-5749,30,0,0
1736,Mathews,Kason,Hewitt,76643,6/3/1985,254-390-8212,30,0,0
1695,Zimmerman,Landen,Waco,76702,8/26/1953,254-906-7366,20,8404.6,60
1816,Osborn,Nora,Hewitt,76643,7/26/1997,254-277-5312,30,2798.53,30
1855,Rollins,Addison,Lorena,76630,8/13/1957,254-940-2368,30,6767.35,30
1595,Hayden,Makenzie,Moody,76557,1/21/1973,254-884-3278,30,4363.09,30
2000,Gilliam,Isai,Hewitt,76643,3/26/1982,254-923-4824,30,1751.37,30
1625,Stout,Valentino,Hewitt,76643,11/19/1956,254-844-5576,30,0,0
1529,Parks,Trevon,Hewitt,76643,10/21/1969,254-241-5976,30,0,0
1651,Carrillo,Ashlyn,Bellmead,76715,12/8/1972,984-896-6549,10,0,0
1514,Salazar,Harrison,Waco,76702,3/5/1962,254-377-1412,10,0,0
1311,Odom,Johanna,Woodway,76712,6/12/1960,254-592-9152,30,0,0
1561,Fry,Sharon,Woodway,76712,5/15/1975,254-620-9205,30,1403.65,0
1823,Drake,Maleah,Woodway,76712,6/11/1984,254-976-9117,30,0,0
1453,Fleming,Alexandria,Bellmead,76715,8/13/1981,717-984-5152,10,0,0
1023,Slater,Mckinley,Waco,76702,7/20/1967,254-336-2921,20,0,0
1983,Marquez,Ryan,Moody,76557,2/20/1980,254-485-5927,30,0,0
1228,Terry,Jaiden,Woodway,76712,11/22/1990,254-864-7080,30,0,0
1667,Sparks,Alec,Waco,76702,2/17/1979,254-921-3681,20,611.57,60
1725,Schmidt,Alina,Moody,76557,10/19/1939,254-487-5581,30,0,0
1350,Burris,Lilianna,Hewitt,76643,6/22/1946,256-722-6776,30,4965.16,0
1674,Salas,Terrence,Hewitt,76643,7/8/1990,402-466-8629,30,0,0
1262,Cardenas,Leighton,Waco,76702,7/20/1985,254-934-1793,20,0,0
1564,Page,Jack,Hewitt,76643,1/21/1978,254-911-6387,30,0,0
1144,Jacobs,Lola,Hewitt,76643,10/14/1963,254-583-9213,30,0,0
1937,Carter,Alexander,Moody,76557,2/17/1973,254-336-5934,30,5553.25,30
1310,Lawson,Krystal,Hewitt,76643,5/24/1974,870-419-6746,30,8863.93,0
1156,Pittman,Sullivan,Hewitt,76643,12/8/1957,254-737-6929,30,5917.54,0
1008,Tyler,Slade,Lorena,76630,4/19/1968,254-618-4334,30,5716.92,0
1910,Combs,Aedan,Woodway,76712,7/19/1965,254-853-5961,30,0,0
1109,Morin,Gabrielle,Hewitt,76643,8/26/1971,254-439-3739,30,0,0
1448,Barton,Khloe,Hewitt,76643,10/25/1977,254-946-3315,30,9260.76,30
1548,Moon,Albert,Moody,76557,12/11/1991,662-691-8831,30,0,0
1788,Ramsey,Adolfo,Hewitt,76643,3/26/1958,254-212-3030,30,0,0
1415,McMillan,Morgan,Hewitt,76643,1/26/1973,254-485-7562,30,0,0
1527,Solomon,Zariah,Lorena,76630,7/24/1952,254-976-5616,30,0,0
1372,Joyce,Wesley,Hewitt,76643,3/17/1977,614-228-9733,30,0,0
1934,Pratt,Dominik,Woodway,76712,3/23/1978,254-788-2202,30,6892.69,60
1791,Huffman,Eli,Lorena,76630,6/14/1979,254-355-5062,30,0,0
1571,Velez,Nathan,Woodway,76712,4/5/1981,254-776-8819,30,7314.18,90
1145,Holden,Janice,Waco,76702,7/10/1984,580-503-3079,20,7252.56,30
1450,Bates,Paige,Waco,76702,7/11/1980,254-879-3849,20,0,0
1442,Oneil,Ayanna,Woodway,76712,10/21/1965,254-401-4376,30,4373.12,30
1210,Hogan,Julio,Hewitt,76643,4/19/1947,585-648-9462,30,0,0
1547,Gordon,Macie,Woodway,76712,5/7/2003,254-406-4026,30,135.84,0
1316,Roy,Jovanny,Woodway,76712,6/6/1955,254-794-9383,30,9866.61,0
1223,Yates,Camilla,Hewitt,76643,6/26/1973,254-895-1830,30,0,0
1524,Melton,Elena,Woodway,76712,5/2/1972,254-708-2395,30,0,0
1366,Sanders,Addisyn,Woodway,76712,12/18/1968,254-869-9250,30,0,0
1717,Knight,Hope,Waco,76702,9/4/1990,254-358-3245,20,0,0
1864,Keller,Justice,Woodway,76712,6/2/1938,254-404-7522,30,1156.77,30
1471,Galloway,Makena,Woodway,76712,6/3/1967,254-887-7539,30,0,0
1915,Yang,Connor,Waco,76702,9/13/1958,641-631-2189,10,667.39,0
1357,Gould,Kristina,Moody,76557,7/20/1992,254-541-4007,30,5723.31,0
1368,Barrera,Karl,Woodway,76712,9/2/1986,254-670-3105,30,0,0
1871,Perez,Alicia,Woodway,76712,1/11/1993,254-688-3237,30,0,0
1957,Crosby,Nathalie,Hewitt,76643,10/8/1951,208-925-5315,30,4504.24,0
1985,Preston,Nickolas,Woodway,76712,12/4/1972,254-756-5760,30,0,0
1073,Oconnor,Amya,Woodway,76712,4/25/1952,254-934-9413,30,0,0
1712,McCray,Pedro,Waco,76702,7/4/1977,254-521-1271,20,0,0
1642,Reilly,Jadyn,Woodway,76712,3/24/1993,254-280-4825,30,0,0
1520,Paul,Emilee,Moody,76557,1/19/1943,307-318-9488,30,0,0
1751,Bradford,Deon,Waco,76702,4/11/1991,254-326-4559,20,0,0
1427,Vaughan,Noemi,Hewitt,76643,2/11/1964,254-944-2267,30,0,0
1774,Joyner,Rogelio,Woodway,76712,4/17/1961,254-453-6732,30,0,0
1264,Powell,Dana,Moody,76557,12/8/1990,317-410-7201,30,0,0
1768,Wilkins,Jaelynn,Hewitt,76643,4/14/1982,254-683-3179,30,5572.42,0
1386,Serrano,Tess,Hewitt,76643,6/25/1995,957-901-9008,30,0,0
1992,Le,Luca,Hewitt,76643,5/24/1947,914-285-3750,30,2200.64,30
1905,McCullough,Will,Woodway,76712,5/26/1969,254-253-4307,30,0,0
1058,Waters,Jamel,Waco,76702,11/16/1995,254-298-3031,20,5595.84,30
1831,Golden,Lorenzo,Robinson,76706,10/12/1995,254-917-7897,30,0,0
1875,Ashley,Luke,Hewitt,76643,3/14/1949,254-515-6887,30,0,0
1189,Fulton,Madilynn,Hewitt,76643,1/7/1970,254-584-2051,30,0,0
1810,Bean,Leland,Woodway,76712,5/14/1967,254-586-2108,30,7335.19,0
1647,Beasley,Fredrick,Waco,76702,6/7/1976,254-210-3070,10,0,0
1081,Craft,Jaylen,Hewitt,76643,5/25/1940,254-930-5740,30,0,0
1696,Cote,Ronin,Woodway,76712,2/16/1946,254-444-9711,30,0,0
1476,Knox,Frida,Moody,76557,1/17/2001,254-867-3722,30,0,0
1344,Alexander,Sloane,Woodway,76712,2/3/1952,254-518-1859,30,0,0
1669,Bowers,Conrad,Moody,76557,7/22/1946,254-595-6335,30,0,0
1479,Farrell,Kristen,Woodway,76712,10/5/1990,254-907-4531,30,8329.64,30
1009,Gould,Aedan,Robinson,76706,2/16/1981,254-631-5028,30,0,0
1785,Guzman,Destinee,Moody,76557,4/21/1979,254-658-9630,30,0,0
1233,Roberts,Malik,Moody,76557,12/19/1971,254-830-5213,30,7335.02,30
1882,Burnett,Damien,Waco,76702,11/7/1976,254-804-2179,10,0,0
1749,Bartlett,Darren,Waco,76702,12/1/2001,562-380-4650,20,5062.14,0
